==============================================================================
STAGE 4 -- per-condition feature extraction (PREREG 8.3 / 8.3.1)
==============================================================================
subjects   : 121
conditions : 19  (i_brain, ii_eye1, ii_eyeall, ii_c1, ii_c2, ii_c3, ii_c4, ii_c5, ii_m1, ii_m2, ii_m3, ii_m4, ii_m5, ii_s1, ii_s2, ii_s3, iii_noica, iv_noasr, v_wideband)
features   : 306 per epoch, epoch 6s, definitions frozen at features-v1
[ 77/121] v46p     eye=2 cand=2 epochs=12 conds=19 ICA   1937.0s
[ 78/121] v47p     eye=1 cand=2 epochs=14 conds=19 ICA   1956.8s
[ 79/121] v48p     eye=1 cand=7 epochs=13 conds=19 ICA   1975.2s
[ 80/121] v49p     eye=1 cand=3 epochs=21 conds=19 ICA   2003.3s
[ 81/121] v50p     eye=1 cand=4 epochs=21 conds=19 ICA   2031.6s
[ 82/121] v51p     eye=0 cand=7 epochs=10 conds=9 ICA   2039.4s
[ 83/121] v52p     eye=1 cand=3 epochs=18 conds=19 ICA   2063.4s
[ 84/121] v53p     eye=0 cand=3 epochs=24 conds=9 ICA   2080.9s
[ 85/121] v54p     eye=1 cand=3 epochs=25 conds=19 ICA   2120.6s
[ 86/121] v55p     eye=1 cand=5 epochs=18 conds=19 ICA   2144.8s
[ 87/121] v56p     eye=1 cand=4 epochs=18 conds=19 ICA   2169.7s
[ 88/121] v57p     eye=1 cand=3 epochs=19 conds=19 ICA   2194.9s
[ 89/121] v58p     eye=1 cand=2 epochs=18 conds=19 ICA   2218.6s
[ 90/121] v59p     eye=1 cand=1 epochs=21 conds=19 ICA   2247.6s
[ 91/121] v60p     eye=0 cand=7 epochs=16 conds=9 ICA   2259.8s
[ 92/121] v117     eye=1 cand=8 epochs=33 conds=19 ICA   2303.1s
[ 93/121] v118     eye=1 cand=6 epochs=15 conds=19 ICA   2323.0s
[ 94/121] v120     eye=0 cand=4 epochs=15 conds=9 ICA   2335.0s
[ 95/121] v121     eye=0 cand=9 epochs=21 conds=9 ICA   2349.3s
[ 96/121] v123     eye=1 cand=5 epochs=18 conds=19 ICA   2373.2s
[ 97/121] v125     eye=1 cand=6 epochs=20 conds=19 ICA   2399.4s
[ 98/121] v127     eye=0 cand=5 epochs=19 conds=9 ICA   2412.5s
[ 99/121] v129     eye=0 cand=10 epochs=14 conds=9 ICA   2423.0s
[100/121] v131     eye=0 cand=12 epochs=21 conds=9 ICA   2437.6s
[101/121] v133     eye=1 cand=6 epochs=19 conds=19 ICA   2462.3s
[102/121] v134     eye=0 cand=9 epochs=17 conds=9 ICA   2474.3s
[103/121] v138     eye=0 cand=7 epochs=16 conds=9 ICA   2487.3s
[104/121] v140     eye=1 cand=4 epochs=22 conds=19 ICA   2516.7s
[105/121] v143     eye=1 cand=2 epochs=20 conds=19 ICA   2545.2s
[106/121] v147     eye=1 cand=6 epochs=18 conds=19 ICA   2570.2s
[107/121] v149     eye=1 cand=8 epochs=22 conds=19 ICA   2604.9s
[108/121] v151     eye=3 cand=5 epochs=27 conds=19 ICA   2640.6s
[109/121] v297     eye=2 cand=6 epochs=17 conds=19 ICA   2663.2s
[110/121] v298     eye=1 cand=7 epochs=23 conds=19 ICA   2693.0s
[111/121] v299     eye=3 cand=3 epochs=28 conds=19 ICA   2731.8s
[112/121] v300     eye=1 cand=1 epochs=33 conds=19 ICA   2779.2s
[113/121] v302     eye=2 cand=2 epochs=23 conds=19 ICA   2810.8s
[114/121] v303     eye=2 cand=5 epochs=25 conds=19 ICA   2843.0s
[115/121] v304     eye=4 cand=3 epochs=17 conds=19 ICA   2866.2s
[116/121] v305     eye=3 cand=4 epochs=29 conds=19 ICA   2904.4s
[117/121] v306     eye=0 cand=4 epochs=23 conds=9 ICA   2920.0s
[118/121] v307     eye=1 cand=4 epochs=29 conds=19 ICA   2958.4s
[119/121] v308     eye=1 cand=5 epochs=22 conds=19 ICA   2987.6s
[120/121] v309     eye=0 cand=5 epochs=32 conds=9 ICA   3010.4s
[121/121] v310     eye=1 cand=5 epochs=23 conds=19 ICA   3041.8s

------------------------------------------------------------------------------
WRITTEN
------------------------------------------------------------------------------
  i_brain      subjects=121 epochs= 2761 NaN=0 Inf=0  features_i_brain.csv
  ii_eye1      subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_eye1.csv
  ii_eyeall    subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_eyeall.csv
  ii_c1        subjects=121 epochs= 2761 NaN=0 Inf=0  features_ii_c1.csv
  ii_c2        subjects=121 epochs= 2761 NaN=0 Inf=0  features_ii_c2.csv
  ii_c3        subjects=121 epochs= 2761 NaN=0 Inf=0  features_ii_c3.csv
  ii_c4        subjects=121 epochs= 2761 NaN=0 Inf=0  features_ii_c4.csv
  ii_c5        subjects=121 epochs= 2761 NaN=0 Inf=0  features_ii_c5.csv
  ii_m1        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_m1.csv
  ii_m2        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_m2.csv
  ii_m3        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_m3.csv
  ii_m4        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_m4.csv
  ii_m5        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_m5.csv
  ii_s1        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_s1.csv
  ii_s2        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_s2.csv
  ii_s3        subjects= 84 epochs= 1976 NaN=0 Inf=0  features_ii_s3.csv
  iii_noica    subjects=121 epochs= 2761 NaN=0 Inf=0  features_iii_noica.csv
  iv_noasr     subjects=121 epochs= 2761 NaN=0 Inf=0  features_iv_noasr.csv
  v_wideband   subjects=121 epochs= 2761 NaN=0 Inf=0  features_v_wideband.csv

------------------------------------------------------------------------------
DISTRIBUTIONS OVER ALL PROCESSED SUBJECTS
------------------------------------------------------------------------------
eye ICs per subject : 0:37  1:63  2+:21
  -> ii_eyeall differs from ii_eye1 for 21 subject(s). If 0, the arm is
     redundant and should be reported as such rather than interpreted.

candidate control ICs: min 1  median 4  max 12   (subjects with <5: 66)
  wrap-around reuse occurred for 66 subject(s)

matching alpha (ii_m): median 1.84  p90 3.91  max 10.45   (alpha>5: 15 of 420)
  -> high alpha means a residual IC was amplified to eye-IC scale.
     ii_s (phase surrogate) needs no amplification and is unaffected.

variance ratio vs i_brain (median over subjects)
  i_brain       1.000   (n=121)
  ii_eye1       1.224   (n=84)
  ii_eyeall     1.270   (n=84)
  ii_c1         1.097   (n=121)
  ii_c2         1.073   (n=121)
  ii_c3         1.050   (n=121)
  ii_c4         1.052   (n=121)
  ii_c5         1.060   (n=121)
  ii_m1         1.224   (n=84)
  ii_m2         1.226   (n=84)
  ii_m3         1.225   (n=84)
  ii_m4         1.224   (n=84)
  ii_m5         1.224   (n=84)
  ii_s1         1.225   (n=84)
  ii_s2         1.222   (n=84)
  ii_s3         1.227   (n=84)
  iii_noica     1.659   (n=121)
  iv_noasr      1.902   (n=121)
  v_wideband    1.917   (n=121)

ASR effect (iv_noasr - iii_noica): median +0.0789   inert (<0.001) for 38/121 subjects
  -> at cutoff 100 ASR may be removing almost nothing; that is itself
     a number to report, not a bug.

40-60 Hz contribution (v_wideband - iv_noasr): median +0.0140 of i_brain variance
  -> variance is not the whole story: Hjorth, fractal and entropy
     features weight high frequencies far more than variance does.

elapsed: 50.7 min
